,id,description,universe,keyword,unkeyed,edition_type,edition
0,B25081,Mortgage Status,Owner-occupied housing units,housing,status mortgage,acs5,2024-10-01
1,B03003,Hispanic or Latino Origin,Total population,ethnicity,latino origin or hispanic,acs5,2024-10-01
2,B25006,Race of Householder,Occupied housing units,housing,householder race of,acs5,2024-10-01
3,B25068,Bedrooms by Gross Rent,Renter-occupied housing units,housing,rent bedroom gross by,acs5,2024-10-01
4,B25056,Contract Rent,Renter-occupied housing units,housing,contract rent,acs5,2024-10-01
5,B99061,Allocation of Place of Birth,Total population,allocation,allocation place of birth,acs5,2024-10-01
6,B05003,Sex by Age by Nativity and Citizenship Status,Total population,foreign born,status and age nativity citizenship by sex,acs5,2024-10-01
7,B25096,Mortgage Status by Value,Owner-occupied housing units,housing,status value mortgage by,acs5,2024-10-01
8,B25104,Monthly Housing Costs,Occupied housing units,housing,cost housing monthly,acs5,2024-10-01
9,B02001,Race,Total population,race,race,acs5,2024-10-01
10,B18107,Sex by Age by Independent Living Difficulty,Civilian noninstitutionalized population 18 years and over,disability status,difficulty independent age by sex living,acs5,2024-10-01
11,B17015,Poverty Status in the Past 12 Months of Families by Family Type by Social Security Income by Supplemental Security Income (SSI) and Cash Public Assistance Income,Families,poverty status,in past by (ssi) family the status of social public security supplemental and assistance 12 type cash month income poverty,acs5,2024-10-01
12,B18104,Sex by Age by Cognitive Difficulty,Civilian noninstitutionalized population 5 years and over,disability status,difficulty cognitive age by sex,acs5,2024-10-01
13,B17016,Poverty Status in the Past 12 Months of Families by Family Type by Work Experience of Householder and Spouse,Families,poverty status,spouse in the householder status past and of 12 type experience work by month poverty family,acs5,2024-10-01
14,B18105,Sex by Age by Ambulatory Difficulty,Civilian noninstitutionalized population 5 years and over,disability status,difficulty age by ambulatory sex,acs5,2024-10-01
15,B17017,Poverty Status in the Past 12 Months by Household Type by Age of Householder,Households,poverty status,in the household householder status past of 12 type age by month poverty,acs5,2024-10-01
16,B18106,Sex by Age by Self&#8211;Care Difficulty,Civilian noninstitutionalized population 5 years and over,disability status,difficulty age self-care by sex,acs5,2024-10-01
17,B17018,Poverty Status in the Past 12 Months of Families by Household Type by Educational Attainment of Householder,Families,poverty status,in the household educational householder status past attainment of 12 type by month poverty family,acs5,2024-10-01
18,B07001PR,Geographical Mobility in the Past Year by Age for Current Residence in Puerto Rico,Population 1 year and over in Puerto Rico,geographical mobility,current in the residence mobility geographical past year puerto age for by rico,acs5,2024-10-01
19,B17011,Aggregate Income Deficit (Dollars) in the Past 12 Months for Families by Family Type,Families With Income In The Past 12 Months Below The Poverty Level,poverty status,aggregate in the past (dollars) deficit 12 type for by month income family,acs5,2024-10-01
20,B19301A,Per Capita Income in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars) (White Alone),People who are White alone,household income,in the inflation-adjusted (white (in past per dollars) 12 alone) caput 2022 month income,acs5,2024-10-01
21,B17012,Poverty Status in the Past 12 Months of Families by Household Type by Number of Related Children Under 18 Years,Families,poverty status,related in the household child status past year of 12 type 18 under by number month poverty family,acs5,2024-10-01
22,B18101,Sex by Age by Disability Status,Civilian noninstitutionalized population,disability status,status age by disability sex,acs5,2024-10-01
23,B17013,Poverty Status in the Past 12 Months of Families by Household Type by Number of Persons in Family,Families,poverty status,in the household person status past of 12 type by number month poverty family,acs5,2024-10-01
24,B18102,Sex by Age by Hearing Difficulty,Civilian noninstitutionalized population,disability status,difficulty age by hearing sex,acs5,2024-10-01
25,B17014,Poverty Status in the Past 12 Months of Families by Household Type by Number of Workers in Family,Families,poverty status,in the household status past of 12 type by number month poverty family worker,acs5,2024-10-01
26,B18103,Sex by Age by Vision Difficulty,Civilian noninstitutionalized population,disability status,difficulty vision age by sex,acs5,2024-10-01
27,B19301E,Per Capita Income in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars) (Native Hawaiian and Other Pacific Islander Alone),People who are Native Hawaiian and Other Pacific Islander alone,household income,in past other 2022 (native the per caput islander (in hawaiian and dollars) 12 pacific month inflation-adjusted alone) income,acs5,2024-10-01
28,B19301D,Per Capita Income in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars) (Asian Alone),People who are Asian alone,household income,in the inflation-adjusted (in past per dollars) (asian 12 alone) caput 2022 month income,acs5,2024-10-01
29,B19301C,Per Capita Income in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars) (American Indian and Alaska Native Alone),People who are American Indian and Alaska Native alone,household income,in the inflation-adjusted alaska (in (american past per and dollars) 12 alone) caput 2022 indian month income native,acs5,2024-10-01
30,B17010,Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children,Families,poverty status,related in the child status past year of 12 type age under by 18 month poverty family presence,acs5,2024-10-01
31,B19301B,Per Capita Income in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars) (Black or African American Alone),People who are Black or African American alone,household income,in the inflation-adjusted or (in (black past per american african dollars) 12 alone) caput 2022 month income,acs5,2024-10-01
32,B19301I,Per Capita Income in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars) (Hispanic or Latino),People who are Hispanic or Latino,household income,in the inflation-adjusted or (in latino) past per (hispanic dollars) 12 caput 2022 month income,acs5,2024-10-01
33,B98013,Total Population Coverage Rate by Weighting Race and Hispanic or Latino Groups,Total population,sample size,population weighting or and total rate latino group race by hispanic coverage,acs5,2024-10-01
34,B99102,Allocation of Grandparents Living With Grandchildren Under 18 Years,Population 30 years and over,allocation,year of under grandchild 18 with allocation grandparent living,acs5,2024-10-01
35,B19301H,"Per Capita Income in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars) (White Alone, Not Hispanic or Latino)","White alone, not Hispanic or Latino population",household income,"in the inflation-adjusted (white or (in latino) past per dollars) hispanic 12 not caput 2022 month income alone,",acs5,2024-10-01
36,B98012,Total Population Coverage Rate by Sex,Total population,sample size,population total rate by sex coverage,acs5,2024-10-01
37,B19301G,Per Capita Income in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars) (Two or More Races),People who are Two or More Races,household income,in the inflation-adjusted more or (in past per dollars) 12 caput 2022 month income races) (two,acs5,2024-10-01
38,B99104,Allocation of Length of Time Grandparent Responsible for Own Grandchildren Under 18 Years for the Population 30 Years and Over,Population 30 years and over,allocation,population the responsible length 30 and year of time under for over grandchild 18 allocation grandparent own,acs5,2024-10-01
39,B19301F,Per Capita Income in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars) (Some Other Race Alone),People who are Some Other Race alone,household income,in the inflation-adjusted (in past per dollars) 12 race other alone) caput 2022 (some month income,acs5,2024-10-01
40,B98014,Group Quarters Population Coverage Rate,Population in group quarters,sample size,population rate group quarter coverage,acs5,2024-10-01
41,B99103,Allocation of Grandparents Responsible for Grandchildren Under 18 Years,Grandparents living with own grandchildren under 18 years,allocation,responsible year of under for grandchild 18 allocation grandparent,acs5,2024-10-01
