geoid,b01001001,b01001002,b01001003,b01001004,b01001005,b01001006,b01001007,b01001008,b01001009,b01001010,b01001011,b01001012,b01001013,b01001014,b01001015,b01001016,b01001017,b01001018,b01001019,b01001020,b01001021,b01001022,b01001023,b01001024,b01001025,b01001026,b01001027,b01001028,b01001029,b01001030,b01001031,b01001032,b01001033,b01001034,b01001035,b01001036,b01001037,b01001038,b01001039,b01001040,b01001041,b01001042,b01001043,b01001044,b01001045,b01001046,b01001047,b01001048,b01001049
04000US26,9909600,4869885,294645,311461,326848,207202,141974,78686,76071,213726,312873,294174,282845,306332,329761,359045,350962,132845,176931,108882,134497,167808,115095,78312,68910,5039715,279320,295998,314651,197638,135758,74455,74575,203711,304082,296463,288704,310837,336192,371553,372902,137044,191638,118261,148033,193163,143656,115304,135777
04001US26,7391398,3594145,229625,235802,242794,150766,111808,63517,62833,172584,253001,230350,216337,228465,238543,252357,243369,91780,119537,72315,87563,108954,75286,54737,51822,3797253,218180,224480,234366,145031,110121,60841,62236,168243,248587,234117,223022,235645,246105,266811,266119,97402,135353,83339,104572,134921,102798,86703,108261
04043US26,2518202,1275740,65020,75659,84054,56436,30166,15169,13238,41142,59872,63824,66508,77867,91218,106688,107593,41065,57394,36567,46934,58854,39809,23575,17088,1242462,61140,71518,80285,52607,25637,13614,12339,35468,55495,62346,65682,75192,90087,104742,106783,39642,56285,34922,43461,58242,40858,28601,27516
040A0US26,9242912,4533563,278463,293556,306957,194117,134640,75052,72461,202538,296329,277625,266425,287589,308060,333161,323194,121411,160610,98357,120341,149001,101230,70013,62433,4709349,264302,278693,296206,185328,129441,71264,71601,194295,289156,280902,273400,292896,315281,345695,344226,125821,175637,107745,134107,173903,129610,104984,124856
040C0US26,8108308,3960693,246736,259319,271205,171512,116220,63445,62213,176961,261525,244040,233959,253325,270856,291392,281931,104765,137942,84351,103161,126254,85321,59940,54320,4147615,234515,246384,261584,164119,111748,60361,61758,173217,259171,249933,243045,262156,280318,304530,301776,109849,152612,94110,115650,149307,111407,91151,108914
040C1US26,2488954,1200606,84640,81150,80795,48745,45106,25789,25958,68079,94117,78031,70348,71766,73242,78232,76627,28611,35707,21634,25604,31393,21621,16885,16526,1288348,80568,78309,79209,47991,44898,25124,25301,66515,94573,82626,76550,76673,76632,83166,85047,31025,43407,26341,31669,39763,31532,27397,34032
040C2US26,5619354,2760087,162096,178169,190410,122767,71114,37656,36255,108882,167408,166009,163611,181559,197614,213160,205304,76154,102235,62717,77557,94861,63700,43055,37794,2859267,153947,168075,182375,116128,66850,35237,36457,106702,164598,167307,166495,185483,203686,221364,216729,78824,109205,67769,83981,109544,79875,63754,74882
040E0US26,1134604,572870,31727,34237,35752,22605,18420,11607,10248,25577,34804,33585,32466,34264,37204,41769,41263,16646,22668,14006,17180,22747,15909,10073,8113,561734,29787,32309,34622,21209,17693,10903,9843,21078,29985,30969,30355,30740,34963,41165,42450,15972,23025,13635,18457,24596,18203,13833,15942
040E1US26,236748,118411,6583,6643,6412,3704,7987,5124,4457,8999,9305,7772,6484,6404,6166,6267,6598,2591,3287,2037,2241,2919,2459,1992,1980,118337,5885,6129,6069,3368,8749,5257,4215,6366,7459,7294,5607,5155,5905,6833,7049,2226,3742,2187,3161,4326,3312,3067,4976
040E2US26,897856,454459,25144,27594,29340,18901,10433,6483,5791,16578,25499,25813,25982,27860,31038,35502,34665,14055,19381,11969,14939,19828,13450,8081,6133,443397,23902,26180,28553,17841,8944,5646,5628,14712,22526,23675,24748,25585,29058,34332,35401,13746,19283,11448,15296,20270,14891,10766,10966
040G0US26,666688,336322,16182,17905,19891,13085,7334,3634,3610,11188,16544,16549,16420,18743,21701,25884,27768,11434,16321,10525,14156,18807,13865,8299,6477,330366,15018,17305,18445,12310,6317,3191,2974,9416,14926,15561,15304,17941,20911,25858,28676,11223,16001,10516,13926,19260,14046,10320,10921
040H0US26,1801292,909192,47909,52142,55643,35690,25754,15241,13858,36765,51348,50134,48886,53007,58905,67653,69031,28080,38989,24531,31336,41554,29774,18372,14590,892100,44805,49614,53067,33519,24010,14094,12817,30494,44911,46530,45659,48681,55874,67023,71126,27195,39026,24151,32383,43856,32249,24153,26863
05000US26163,1767593,849914,58979,58610,61723,38184,22604,13459,13652,36487,58367,51322,50299,54997,58005,61282,60344,21732,28321,17401,19511,24620,16823,12124,11068,917679,56475,56558,59511,37354,21575,12559,12483,39038,60725,55463,55607,59456,60966,64978,66046,23015,33438,20065,24181,31036,23028,20003,24119
06000US2616301380,27519,13405,863,864,513,431,254,274,234,532,787,816,901,877,1045,952,1098,396,630,355,297,517,246,261,262,14114,761,579,882,665,217,222,106,398,817,669,970,962,897,1142,1011,588,600,372,354,386,403,430,683
06000US2616307020,3896,1753,179,149,118,69,28,13,0,123,73,43,174,71,85,118,191,49,76,28,6,43,95,14,8,2143,147,120,127,87,37,0,33,42,165,114,214,110,95,144,206,65,63,49,38,83,44,63,97
06000US2616311220,30685,15458,711,1219,1431,730,486,274,177,519,698,842,1115,1359,1141,1002,1102,471,472,383,424,403,265,132,102,15227,904,976,936,642,352,245,140,414,759,1017,1106,1289,916,1168,1248,441,661,408,321,534,404,186,160
06000US2616313120,89651,44241,2945,3093,3605,2356,1002,395,591,1539,2580,2569,2905,3286,3963,3179,2631,1067,1516,881,1271,1159,842,418,448,45410,2579,2874,3693,2027,877,467,430,1548,2674,2770,3232,3825,3802,3199,3282,1070,1524,1185,1125,1306,780,594,547
