geoid,b01001001,b01001002,b01001003,b01001004,b01001005,b01001006,b01001007,b01001008,b01001009,b01001010,b01001011,b01001012,b01001013,b01001014,b01001015,b01001016,b01001017,b01001018,b01001019,b01001020,b01001021,b01001022,b01001023,b01001024,b01001025,b01001026,b01001027,b01001028,b01001029,b01001030,b01001031,b01001032,b01001033,b01001034,b01001035,b01001036,b01001037,b01001038,b01001039,b01001040,b01001041,b01001042,b01001043,b01001044,b01001045,b01001046,b01001047,b01001048,b01001049
04000US26,10062512,4983325,288862,306114,324974,202816,136436,73996,68821,205082,344878,313922,307002,290209,308761,329890,350845,145322,200644,122107,162213,214587,131350,80360,74134,5079187,275955,288805,309219,192111,131364,70441,70575,193809,331419,308816,306100,288969,311092,332435,360242,146051,213479,129837,173087,245075,158342,108018,133946
04001US26,7501541,3673015,223361,229076,239543,149222,106544,59635,55287,165603,279065,247546,233538,215949,228196,234051,243425,101056,135062,81149,107528,143230,86732,53975,54242,3828526,213408,219139,232046,141348,106155,57544,59292,158925,271829,244832,234621,220809,231488,241974,257107,103994,149284,90068,122061,176578,111728,79201,105095
04043US26,2560971,1310310,65501,77038,85431,53594,29892,14361,13534,39479,65813,66376,73464,74260,80565,95839,107420,44266,65582,40958,54685,71357,44618,26385,19892,1250661,62547,69666,77173,50763,25209,12897,11283,34884,59590,63984,71479,68160,79604,90461,103135,42057,64195,39769,51026,68497,46614,28817,28851
040A0US26,9260767,4577106,269280,283895,301352,187332,127913,69910,64730,192593,323097,293179,284141,269807,285615,302988,318368,131177,179398,107951,143033,189828,115188,70355,65976,4683661,256958,267474,287491,178100,123879,66671,66966,182639,312024,289172,285249,269053,288839,306292,328207,132622,191406,116357,155383,219551,141029,96547,121752
040C0US26,8254960,4067238,242634,254647,269655,167941,111398,60713,55571,171653,292501,263680,253819,240743,255847,270801,281536,115715,157445,93969,124003,164625,99929,60874,57539,4187722,231322,239973,257864,159627,108485,58090,58644,164404,284168,261566,257263,242777,261428,275409,292959,117356,168449,101778,136648,193562,123358,85002,107590
040C1US26,2440367,1187541,78826,77135,76051,46585,41123,24808,22331,61023,101502,85196,74491,65949,69861,69782,71474,29804,40804,23927,31250,40433,24628,14933,15625,1252826,74716,73004,75288,45273,41919,23545,25172,62106,102502,84903,75557,71206,71766,73228,75672,30910,44743,26933,35280,51805,32280,23114,31904
040C2US26,5814593,2879697,163808,177512,193604,121356,70275,35905,33240,110630,190999,178484,179328,174794,185986,201019,210062,85911,116641,70042,92753,124192,75301,45941,41914,2934896,156606,166969,182576,114354,66566,34545,33472,102298,181666,176663,181706,171571,189662,202181,217287,86446,123706,74845,101368,141757,91078,61888,75686
040E0US26,1005807,509868,26646,29248,31697,19391,16515,9197,9159,20940,30596,29499,30322,29064,29768,32187,36832,15462,21953,13982,19030,25203,15259,9481,8437,495939,25636,27501,29627,18473,15394,8581,8322,18235,27856,27606,27986,26276,27411,30883,35248,15266,22957,14579,18735,25989,17671,11545,14162
040E1US26,206939,102647,5013,5270,5455,2984,7443,4564,3377,6607,7881,6543,6265,5690,5232,5044,5333,2361,3450,2333,2856,3530,2026,1506,1884,104292,5170,5104,5488,3209,7316,3614,3238,5785,6697,6036,5939,4832,4601,5508,5060,2688,3944,2449,3174,4900,3233,2268,4039
040E2US26,798868,407221,21633,23978,26242,16407,9072,4633,5782,14333,22715,22956,24057,23374,24536,27143,31499,13101,18503,11649,16174,21673,13233,7975,6553,391647,20466,22397,24139,15264,8078,4967,5084,12450,21159,21570,22047,21444,22810,25375,30188,12578,19013,12130,15561,21089,14438,9277,10123
040G0US26,801745,406219,19582,22219,23622,15484,8523,4086,4091,12489,21781,20743,22861,20402,23146,26902,32477,14145,21246,14156,19180,24759,16162,10005,8158,395526,18997,21331,21728,14011,7485,3770,3609,11170,19395,19644,20851,19916,22253,26143,32035,13429,22073,13480,17704,25524,17313,11471,12194
