geoid,b25957001,b25957002,b25957003,b25957004,b25957005,b25957006,b25957007,b25957008
04000US26,8311,3784,3612,140,66,188,111,406
05000US26163,8311,3784,3612,140,66,188,111,406
06000US2616301380,0,0,0,0,0,0,0,0
06000US2616307020,0,0,0,0,0,0,0,0
06000US2616311220,0,0,0,0,0,0,0,0
06000US2616313120,0,0,0,0,0,0,0,0
06000US2616321000,0,0,0,0,0,0,0,0
06000US2616321020,0,0,0,0,0,0,0,0
06000US2616322000,8311,3784,3612,140,66,188,111,406
06000US2616324740,0,0,0,0,0,0,0,0
06000US2616328360,0,0,0,0,0,0,0,0
06000US2616331420,0,0,0,0,0,0,0,0
06000US2616332020,0,0,0,0,0,0,0,0
06000US2616335420,0,0,0,0,0,0,0,0
06000US2616335480,0,0,0,0,0,0,0,0
06000US2616335520,0,0,0,0,0,0,0,0
06000US2616335540,0,0,0,0,0,0,0,0
06000US2616335580,0,0,0,0,0,0,0,0
06000US2616336280,0,0,0,0,0,0,0,0
06000US2616336700,0,0,0,0,0,0,0,0
06000US2616338180,0,0,0,0,0,0,0,0
06000US2616340040,0,0,0,0,0,0,0,0
06000US2616340680,0,0,0,0,0,0,0,0
06000US2616347800,0,0,0,0,0,0,0,0
06000US2616349000,0,0,0,0,0,0,0,0
06000US2616352940,0,0,0,0,0,0,0,0
06000US2616358980,0,0,0,0,0,0,0,0
06000US2616359000,0,0,0,0,0,0,0,0
06000US2616365060,0,0,0,0,0,0,0,0
06000US2616365080,0,0,0,0,0,0,0,0
06000US2616367625,0,0,0,0,0,0,0,0
06000US2616368760,0,0,0,0,0,0,0,0
06000US2616368880,0,0,0,0,0,0,0,0
06000US2616369180,0,0,0,0,0,0,0,0
06000US2616369420,0,0,0,0,0,0,0,0
06000US2616374960,0,0,0,0,0,0,0,0
06000US2616377360,0,0,0,0,0,0,0,0
06000US2616379000,0,0,0,0,0,0,0,0
06000US2616380420,0,0,0,0,0,0,0,0
06000US2616381660,0,0,0,0,0,0,0,0
06000US2616382453,0,0,0,0,0,0,0,0
06000US2616384940,0,0,0,0,0,0,0,0
06000US2616386000,0,0,0,0,0,0,0,0
06000US2616388380,0,0,0,0,0,0,0,0
06000US2616388900,0,0,0,0,0,0,0,0
14000US26163500100,27,13,11,0,1,0,0,2
14000US26163500200,33,18,9,2,1,1,0,2
14000US26163500300,33,6,26,0,0,0,0,1
14000US26163500400,40,5,34,0,0,0,1,0
14000US26163500500,24,5,16,1,1,0,0,1
14000US26163500600,24,16,7,0,0,0,0,1
14000US26163500700,18,12,4,1,1,0,0,0
14000US26163500800,8,6,2,0,0,0,0,0
14000US26163500900,26,18,6,1,0,0,1,0
14000US26163501000,19,11,8,0,0,0,0,0
14000US26163501100,28,21,6,1,0,0,0,0
14000US26163501200,15,10,4,1,0,0,0,0
14000US26163501300,64,8,54,1,0,1,0,0
14000US26163501400,51,42,1,4,0,1,1,2
14000US26163501500,43,33,5,0,0,0,0,5
14000US26163501600,42,33,5,0,1,1,0,2
14000US26163501700,29,11,15,0,1,0,0,2
14000US26163501800,50,42,5,0,1,1,0,1
14000US26163501900,22,8,7,0,0,0,5,2
14000US26163502000,29,8,19,1,0,0,1,0
14000US26163503100,27,21,0,2,0,0,0,4
14000US26163503200,57,13,43,0,0,1,0,0
14000US26163503300,51,19,32,0,0,0,0,0
14000US26163503400,25,6,17,0,0,1,0,1
14000US26163503500,62,25,31,0,3,0,1,2
14000US26163503600,12,9,3,0,0,0,0,0
14000US26163503900,16,5,9,2,0,0,0,0
14000US26163504000,12,5,7,0,0,0,0,0
14000US26163504100,24,5,19,0,0,0,0,0
14000US26163504200,15,7,7,0,0,0,0,1
14000US26163504300,29,8,16,4,1,0,0,0
14000US26163504400,22,9,13,0,0,0,0,0
14000US26163504700,13,6,6,0,0,0,0,1
14000US26163504800,9,3,3,0,0,1,0,2
14000US26163504900,23,19,1,2,1,0,0,0
14000US26163505000,13,6,5,1,1,0,0,0
14000US26163505100,20,13,1,0,0,3,0,3
14000US26163505200,56,14,38,0,0,3,1,0
14000US26163505400,50,14,33,0,1,0,0,2
14000US26163505500,15,6,8,0,0,1,0,0
14000US26163506100,9,6,1,0,0,0,0,2
14000US26163506200,25,13,10,0,0,1,0,1
14000US26163506300,25,13,8,0,0,2,0,2
14000US26163506400,31,5,24,1,0,1,0,0
14000US26163506500,25,10,15,0,0,0,0,0
14000US26163506600,30,21,7,0,0,1,0,1
14000US26163506700,54,13,40,0,0,0,0,1
14000US26163506800,51,24,19,3,0,3,0,2
14000US26163506900,45,20,24,0,1,0,0,0
14000US26163507000,21,9,9,1,0,1,0,1
14000US26163507100,26,12,14,0,0,0,0,0
14000US26163507200,19,4,15,0,0,0,0,0
14000US26163507300,33,12,19,0,2,0,0,0
14000US26163507400,30,19,10,0,0,1,0,0
14000US26163507500,25,15,7,0,0,3,0,0
14000US26163507800,7,2,5,0,0,0,0,0
14000US26163507900,25,6,14,0,1,2,0,2
14000US26163508000,17,1,14,0,0,0,0,2
14000US26163508100,45,6,38,0,0,0,0,1
14000US26163510400,22,7,12,0,0,2,0,1
14000US26163510500,47,12,33,0,1,0,0,1
14000US26163510600,47,26,19,0,0,0,0,2
14000US26163510700,51,5,46,0,0,0,0,0
14000US26163511000,34,15,15,0,0,1,1,2
14000US26163511200,9,2,6,0,0,0,0,1
14000US26163511300,53,8,43,0,0,0,0,2
14000US26163511400,18,9,8,0,0,0,0,1
14000US26163511900,32,17,5,1,0,3,0,6
14000US26163512100,25,16,6,2,0,1,0,0
14000US26163512200,3,1,2,0,0,0,0,0
14000US26163512300,10,2,6,0,0,1,0,1
14000US26163512400,32,7,24,0,0,0,1,0
14000US26163512600,39,6,30,0,0,2,0,1
14000US26163512900,39,6,33,0,0,0,0,0
14000US26163513200,26,12,13,1,0,0,0,0
14000US26163513300,15,8,4,3,0,0,0,0
14000US26163513600,22,10,8,0,0,2,0,2
14000US26163513700,34,19,10,1,0,2,1,1
14000US26163513900,7,2,5,0,0,0,0,0
14000US26163514100,27,8,19,0,0,0,0,0
14000US26163514200,28,9,19,0,0,0,0,0
14000US26163514300,48,14,33,0,1,0,0,0
14000US26163514500,12,4,8,0,0,0,0,0
14000US26163515200,31,8,20,0,0,2,1,0
14000US26163515300,36,24,5,0,1,1,0,5
14000US26163515400,25,17,4,1,0,1,1,1
14000US26163515600,15,6,6,0,1,1,0,1
14000US26163515700,29,19,3,3,0,0,0,4
