fileid,stusab,sumlevel,component,logrecno,us,region,division,statece,state,county,cousub,place,tract,blkgrp,concit,aianhh,aianhhfp,aihhtli,aitsce,aits,anrc,cbsa,csa,metdiv,macc,memi,necta,cnecta,nectadiv,ua,blank1,cdcurr,sldu,sldl,blank2,blank3,zcta5,submcd,sdelm,sdsec,sduni,ur,pci,blank5,blank6,puma5,blank7,geoid,name,bttr,btbg,blank8
ACSSF,MI,140,00,6336,,,,,26,163,,,524700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US26163524700,"Census Tract 5247, Wayne County, Michigan",,,
ACSSF,MI,140,00,6337,,,,,26,163,,,524800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US26163524800,"Census Tract 5248, Wayne County, Michigan",,,
ACSSF,MI,140,00,6338,,,,,26,163,,,525400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US26163525400,"Census Tract 5254, Wayne County, Michigan",,,
ACSSF,MI,140,00,6339,,,,,26,163,,,525700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US26163525700,"Census Tract 5257, Wayne County, Michigan",,,
ACSSF,MI,140,00,6340,,,,,26,163,,,525800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US26163525800,"Census Tract 5258, Wayne County, Michigan",,,
ACSSF,MI,140,00,6341,,,,,26,163,,,525900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US26163525900,"Census Tract 5259, Wayne County, Michigan",,,
ACSSF,MI,140,00,6342,,,,,26,163,,,526000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US26163526000,"Census Tract 5260, Wayne County, Michigan",,,
ACSSF,MI,140,00,6343,,,,,26,163,,,526100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US26163526100,"Census Tract 5261, Wayne County, Michigan",,,
ACSSF,MI,140,00,6344,,,,,26,163,,,526200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US26163526200,"Census Tract 5262, Wayne County, Michigan",,,
ACSSF,MI,140,00,6345,,,,,26,163,,,526300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US26163526300,"Census Tract 5263, Wayne County, Michigan",,,
