table_id,table_title,simple_table_title,subject_area,universe,denominator_column_id,topics
B25985,Detroit Properties by SEV,Detroit Properties by SEV,Housing,Detroit Properties for which SEV was Determined,B25985001,"{sev, taxable value, value, assessment, property, parcels}"
B01999,Chronic Absenteeism,Chronic Absenteeism,Data Driven Detroit,Student Population,B01999001,"{education, absent, absenteeism, students, attendance}"
B01998,Student Mobility,Student Mobility,Data Driven Detroit,Student Population,B01998001,"{education, student, mobility}"
B01997,Third Grade English and Language Arts Proficiency,3rd Grade ELA Proficiency,Data Driven Detroit,Assessed Third Graders,B01997001,"{education, student, ela, reading, 3rd grade, third grade, proficiency, performance}"
B01996,Eighth Grade Math Proficiency,8th Grade Math Proficiency,Data Driven Detroit,Assessed Eighth Graders,B01996001,"{education, student, math, 8th grade, eighth grade, proficiency, performance}"
B25990,Detroit Land Bank Authority Properties Sold,DLBA Sales,Housing,Housing Units,,"{property, sales, dlba, land bank, sidelots, side lots, auction, partner}"
B01995,High School Graduation,High School Graduation,Data Driven Detroit,Students in Graduating Cohorts,B01995001,"{education, student, graduation}"
B01994,College Enrollment of High School Graduates,College Enrollment,Data Driven Detroit,Students in Graduating Cohorts,B01994001,"{education, enrollment, college, higher, education, student, graduation}"
B25999,Address Vacancy,Vacancy,Housing,Housing Units,,"{vacancy, occupancy}"
B25998,Demolitions,Demolitions,Housing,Housing Units,,"{vacancy, demolition}"
B25997,Building Permits,Building Permits,Housing,Housing Units,,"{demolition, development}"
B25996,Blight Violations,Blight Violations,Housing,Housing Units,,"{blight, code enforcement, blight tickets}"
B25994,Property Transactions,Property Transactions,Housing,Housing Units,,"{sales, property, transaction, ownership}"
B25992,Property Taxes and Values,Property Taxes and Values,Housing,Housing Units,,"{tax, taxes, value, values, property, parcel, parcels, pre, assessment, improved, status, taxable, land, sev}"
B25995,Detroit Tax Foreclosures,Detroit Tax Foreclosures,Housing,Detroit Tax Foreclosures,,"{tax foreclosures, tax, eviction, foreclosures, auction}"
B25993,Registered Voters in Detroit by Age,Voters in Detroit by Age,Housing,Registered Voters Residing in Detroit,B25993001,"{democracy, voting, voters, age, elderly, seniors, youth}"
B25991,Detroit Land Bank Authority Property Ownership,DLBA Owned Properties,Housing,Detroit Land Bank Authority Owned Properties,,"{property, land bank, ownership, dlba, public}"
