id,table_name,edition,documentation,raw_table_db,raw_table_schema,raw_table_name
75,b01979,2022,,data,data_dua,sdc_immunizations_2022
76,b01992,2021,,data,data_dua,sdc_update2_births_2021
77,b01982,2021,,data,data_dua,sdc_mediciad_2021
78,b01983,2020,,data,data_dua,sdc_lead_2020
79,b01981,2020,,data,dua,hip_sdc_infant_mortality_2020
80,b01980,2023,,data,sdc,sdc_childcare_centers_2023
81,b01989,2022,,data,sdc,sdc_education_g11_all_subjects_sat_2021_2022
82,b01990,2022,,data,sdc,sdc_education_g11_ebrw_sat_2021_2022
83,b01991,2022,,data,sdc,sdc_education_g11_math_sat_2021_2022
84,b01997,2022,,data,sdc,sdc_education_g3_ela_2021_2022
85,b01996,2022,,data,sdc,sdc_education_g8_math_2021_2022
86,b01993,2022,,data,sdc,sdc_education_frpl_2021_2022
87,b01994,2020,,data,sdc,sdc_education_college_enroll_2019_2020
89,b01986,2021,,ipds,out_tables,hip_properties_transacted_ipds_2021
90,b01987,2021,,ipds,out_tables,hip_property_sales_ipds_2021
93,b25958,2022,,ipds,out_tables,hip_demolitions_2022
94,b25960,2022,,ipds,out_tables,hip_demolitions_2022
95,b25959,2022,,ipds,out_tables,hip_demolitions_2022
102,b25961,2022,,ipds,out_tables,hip_vacancy_2022q2
103,b25961,2017,,ipds,out_tables,hip_vacancy_2017
104,b25958,2017,,ipds,out_tables,hip_demolitions_2017
105,b25960,2017,,ipds,out_tables,hip_demolitions_2017
106,b25959,2017,,ipds,out_tables,hip_demolitions_2017
109,b25980,2022,,ipds,out_tables,hip_dlba_sales_2022
110,b25981,2023,,ipds,out_tables,hip_dlba_owned_2023
96,b01984,2020,"",ipds,out_tables,hip_climate_factors_ipds_2022
97,b01984,2021,"",ipds,out_tables,hip_climate_factors_ipds_2022
98,b01984,2015,"",ipds,out_tables,hip_climate_factors_ipds_2022
99,b01984,2019,"",ipds,out_tables,hip_climate_factors_ipds_2022
100,b01984,2017,"",ipds,out_tables,hip_climate_factors_ipds_2022
101,b01984,2018,"",ipds,out_tables,hip_climate_factors_ipds_2022
91,b25975,2022,"",ipds,out_tables,hip_blight_violations_2022
107,b25975,2017,"",ipds,out_tables,hip_blight_violations_2017
111,b01988,2021,"",ipds,out_tables,hip_evictions_2022
112,b25984,2023,"",ipds,out_tables,hip_taxable_value_2023
88,b01985,2021,"",ipds,out_tables,hip_rentals_ipds_2021
92,b25956,2022,"",ipds,out_tables,hip_building_permits_2022
108,b25956,2019,"",ipds,out_tables,hip_building_permits_2019
